date,code,usdprice
#date,#meta+code,#value+usd
2008-01-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.54
2008-02-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.58
2008-03-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.55
2008-04-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.55
2008-05-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.56
2008-06-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.59
2008-07-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.65
2008-08-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.71
2008-09-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.73
2008-10-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.7
2008-11-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.68
2008-12-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.53
2009-01-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.47
2009-02-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.48
2009-03-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.51
2009-04-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.45
2009-05-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.42
2009-06-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.41
2009-07-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.45
2009-08-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.5
2009-09-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.63
2009-10-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.62
2009-11-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.67
2009-12-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.66
2010-01-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.41
2010-02-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.41
2010-03-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.48
2010-04-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.52
2010-05-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.49
2010-06-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.51
2010-07-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.49
2010-08-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.51
2010-09-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.62
2010-10-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.6
2010-11-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.59
2010-12-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.51
2011-01-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.45
2011-02-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.42
2011-03-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.46
2011-04-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.5
2011-05-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.56
2011-06-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.55
2011-07-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.56
2011-08-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.57
2011-09-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.58
2011-10-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.55
2011-11-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.53
2011-12-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.59
2012-01-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.43
2012-02-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.47
2012-03-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.55
2012-04-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.59
2012-05-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.58
2012-06-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.56
2012-07-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.51
2012-08-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.56
2012-11-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.54
2012-12-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.51
2013-01-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.43
2013-02-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.42
2013-03-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.55
2013-04-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.56
2013-05-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.61
2013-06-15,Southern Province-Gisagara-Kibirizi-Beans (dry)-KG-Retail-RWF,0.53
